year,word,count
2023,learning,132
2023,machine,82
2023,event,56
2023,iot,56
2023,deep,52
2023,triggered,50
2023,sdn,40
2023,cyber,38
2023,model,36
2023,analysis,31
2023,data,31
2023,multi,30
2023,software,30
2023,algorithm,29
2023,cloud,28
2023,defined,28
2023,networked,28
2023,neural,27
2023,physical,27
2023,detecting,26
2023,resilient,25
2023,consensus,22
2023,secure,22
2023,adaptive,21
2023,environment,21
2023,fuzzy,21
2023,agent,20
2023,computing,20
2023,hybrid,20
2023,mechanism,20
2023,security,20
2023,defense,19
2023,feature,19
2023,nonlinear,19
2023,sensor,18
2023,smart,18
2023,application,17
2023,protocol,17
2023,serangan,17
2023,thing,17
2023,wireless,17
2023,classification,15
2023,design,15
2023,dynamic,15
2023,intrusion,15
2023,observer,15
2023,prevention,15
2023,review,15
2023,communication,14
2023,novel,14
2023,detect,13
2023,fault,13
2023,layer,13
2023,multiagent,13
2023,pada,13
2023,power,13
2023,selection,13
2023,switched,13
2023,cooperative,12
2023,ensemble,12
2023,grid,12
2023,prediction,12
2023,traffic,12
2023,via,12
2023,efficient,11
2023,estimation,11
2023,evaluation,11
2023,low,11
2023,performance,11
2023,state,11
2023,5g,10
2023,analisis,10
2023,asynchronous,10
2023,classifier,10
2023,controller,10
2023,entropy,10
2023,intelligent,10
2023,menggunakan,10
2023,robust,10
2023,scheme,10
2023,switching,10
2023,device,9
2023,identification,9
2023,mitigate,9
2023,multiple,9
2023,output,9
2023,rate,9
2023,botnet,8
2023,cnn,8
2023,optimization,8
2023,path,8
2023,periodic,8
2023,self,8
2023,strategy,8
2023,study,8
2023,subject,8
2023,vehicle,8
2023,artificial,7
2023,energy,7
2023,h,7
2023,input,7
2023,ip,7
2023,linear,7
2023,markov,7
2023,routing,7
2023,tolerant,7
2023,ai,6
2023,algoritma,6
2023,anomaly,6
2023,aperiodic,6
2023,blockchain,6
2023,channel,6
2023,class,6
2023,comparative,6
2023,enabled,6
2023,finite,6
2023,id,6
2023,improved,6
2023,jaringan,6
2023,measurement,6
2023,mobile,6
2023,networking,6
2023,open,6
2023,prevent,6
2023,regulation,6
2023,supervised,6
2023,technology,6
2023,tree,6
2023,vehicular,6
2023,vulnerability,6
2023,web,6
2023,∞,6
2023,actuator,5
2023,assisted,5
2023,binary,5
2023,dan,5
2023,deteksi,5
2023,driven,5
2023,fog,5
2023,formation,5
2023,fusion,5
2023,game,5
2023,gradient,5
2023,implementation,5
2023,integrated,5
2023,jump,5
2023,literature,5
2023,metode,5
2023,overview,5
2023,preventing,5
2023,random,5
2023,reinforcement,5
2023,securing,5
2023,solution,5
2023,stochastic,5
2023,systematic,5
2023,tracking,5
2023,two,5
2023,use,5
2023,various,5
2023,access,4
2023,architecture,4
2023,autonomous,4
2023,aware,4
2023,boosting,4
2023,city,4
2023,collaborative,4
